"Genome"	"original_bin"	"classification"	"fastani_reference"	"fastani_reference_radius"	"fastani_taxonomy"	"fastani_ani"	"fastani_af"	"closest_placement_reference"	"closest_placement_radius"	"closest_placement_taxonomy"	"closest_placement_ani"	"closest_placement_af"	"pplacer_taxonomy"	"classification_method"	"note"	"other_related_references.genome_id.species_name.radius.ANI.AF."	"msa_percent"	"translation_table"	"red_value"	"warnings"	"completeness"	"contamination"	"length"	"N50"	"centrality"
"MGYG000000858"	"ERR7738624_bin.77"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAKTEQ01;s__CAKTEQ01 sp934552825"	"GCA_934552825.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAKTEQ01;s__CAKTEQ01 sp934552825"	"99.98"	"0.993"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	98.27	3.59	1750193	151120	0
"MGYG000000859"	"ERR7738624_bin.80"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UMGS902;s__UMGS902 sp934467415"	"GCA_934467415.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UMGS902;s__UMGS902 sp934467415"	"98.03"	"0.905"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	81.55	1.59	1605190	9712	0.971571
"MGYG000000860"	"ERR7738624_bin.81"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__UBA1234;g__HGM13618;s__HGM13618 sp900753975"	"GCA_900753975.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__UBA1234;g__HGM13618;s__HGM13618 sp900753975"	"96.08"	"0.779"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	82.44	0.64	1021896	11299	0.949834
"MGYG000000861"	"ERR7738624_bin.84"	"d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-826;g__Enteromonas;s__Enteromonas sp900767825"	"GCA_900767825.1"	"95.0"	"d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-826;g__Enteromonas;s__Enteromonas sp900767825"	"96.69"	"0.862"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	92.06	0.4	1710749	55739	0
"MGYG000000862"	"ERR7738624_bin.86"	"d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__UBA6984;s__UBA6984 sp900550295"	"GCA_900550295.1"	"95.0"	"d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__UBA6984;s__UBA6984 sp900550295"	"99.1"	"0.932"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	99.61	0.47	1756748	106636	0.9892955
"MGYG000000863"	"ERR7738624_bin.9"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__F23-B02;s__F23-B02 sp002472405"	"GCA_002472405.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__F23-B02;s__F23-B02 sp002472405"	"97.22"	"0.838"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"GCA_001916715.1, s__F23-B02 sp001916715, 95.0, 95.01, 0.869"	"N/A"	"N/A"	"N/A"	"N/A"	92.68	0.16	1903930	74665	0.969866833333333
"MGYG000000864"	"ERR7738624_bin.91"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__UBA1242;g__UMGS1908;s__UMGS1908 sp934747885"	"GCA_934747885.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__UBA1242;g__UMGS1908;s__UMGS1908 sp934747885"	"99.98"	"0.997"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	97.47	0.04	1058764	559308	0
"MGYG000000865"	"ERR7738624_bin.92"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1484;s__UMGS1484 sp900552285"	"GCA_900552285.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1484;s__UMGS1484 sp900552285"	"98.91"	"0.923"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	95.59	0.34	1744465	154137	0
"MGYG000000866"	"ERR7738624_bin.94"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA6857;s__UBA6857 sp934525065"	"GCA_934525065.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA6857;s__UBA6857 sp934525065"	"98.31"	"0.908"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	92.67	3.4	1735973	4396	0.983478
"MGYG000000867"	"ERR7738624_bin.97"	"d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__RUG410;s__RUG410 sp900553115"	"GCA_900553115.1"	"95.0"	"d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__RUG410;s__RUG410 sp900553115"	"97.91"	"0.925"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	100	0.47	1492717	75039	0.9784622
"MGYG000000868"	"ERR7738629_bin.13"	"d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__CAG-533;s__CAG-533 sp900553855"	"GCA_900553855.1"	"95.0"	"d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__CAG-533;s__CAG-533 sp900553855"	"95.0"	"0.815"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	85.28	1.66	1148357	20702	0
"MGYG000000869"	"ERR7738629_bin.14"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-917;g__CAG-475;s__CAG-475 sp900550855"	"GCA_900550855.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-917;g__CAG-475;s__CAG-475 sp900550855"	"96.92"	"0.864"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	61.5	1.42	1036191	2566	0
"MGYG000000870"	"ERR7738629_bin.17"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__UBA1242;g__;s__"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__UBA1242;g__;s__"	"taxonomic novelty determined using RED"	"classification based on placement in class-level tree"	"N/A"	"86.83"	"11"	"0.852"	"N/A"	97.66	0.56	1050883	210946	0
"MGYG000000871"	"ERR7738629_bin.2"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_G;s__Eubacterium_G sp900550135"	"GCA_900550135.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_G;s__Eubacterium_G sp900550135"	"95.9"	"0.739"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	89.3	0.5	2100111	17535	0
"MGYG000000872"	"ERR7738629_bin.22"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Wujia;s__Wujia sp022174665"	"GCF_022174665.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Wujia;s__Wujia sp022174665"	"97.28"	"0.911"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	70.62	3.01	1734927	11469	0
"MGYG000000873"	"ERR7738629_bin.23"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__HGM13010;s__HGM13010 sp905214605"	"GCA_905214605.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__HGM13010;s__HGM13010 sp905214605"	"95.32"	"0.713"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	79.83	1.23	1233451	4430	0
"MGYG000000874"	"ERR7738629_bin.31"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp934561735"	"GCA_934561735.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp934561735"	"98.0"	"0.941"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	78.17	2.42	1673842	9381	0
"MGYG000000875"	"ERR7738629_bin.36"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp934590325"	"GCA_934590325.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp934590325"	"97.76"	"0.87"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	86.43	1.31	1738202	22309	0.976753
"MGYG000000876"	"ERR7738629_bin.38"	"d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__Faecisoma;s__Faecisoma sp934169415"	"GCA_934169415.1"	"95.0"	"d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__Faecisoma;s__Faecisoma sp934169415"	"97.8"	"0.8"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	68.1	2.48	1008519	10741	0
"MGYG000000877"	"ERR7738629_bin.45"	"d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__CAG-605;s__CAG-605 sp000433255"	"GCA_000433255.1"	"95.0"	"d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__CAG-605;s__CAG-605 sp000433255"	"95.31"	"0.86"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	91.18	0.58	1247162	42972	0.9618425
"MGYG000000878"	"ERR7738629_bin.5"	"d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_D;s__Campylobacter_D sp900539255"	"GCA_900539255.1"	"95.0"	"d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_D;s__Campylobacter_D sp900539255"	"96.16"	"0.969"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"GCA_900772495.1, s__Campylobacter_D sp900772495, 95.0, 95.42, 0.891"	"N/A"	"N/A"	"N/A"	"N/A"	64.62	0.94	1060024	2872	0
"MGYG000000879"	"ERR7738629_bin.53"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp934316925"	"GCA_934316925.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp934316925"	"99.97"	"0.929"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	63.27	0.1	1376553	23672	0
"MGYG000000880"	"ERR7738629_bin.54"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-917;g__CAG-475;s__CAG-475 sp900550915"	"GCA_022009775.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-917;g__CAG-475;s__CAG-475 sp900550915"	"95.71"	"0.93"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	71.38	3.14	1205609	2772	0
"MGYG000000881"	"ERR7738629_bin.58"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-353;s__CAG-353 sp900768995"	"GCA_900768995.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-353;s__CAG-353 sp900768995"	"95.14"	"0.782"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	98.85	1.5	3181044	28815	0.9568345
"MGYG000000882"	"ERR7738629_bin.64"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-882;s__CAG-882 sp000435595"	"GCA_000435595.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-882;s__CAG-882 sp000435595"	"96.32"	"0.896"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	65.41	2.24	1899890	2970	0
"MGYG000000883"	"ERR7738629_bin.65"	"d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__CAG-605;s__CAG-605 sp934098505"	"GCA_934098505.1"	"95.0"	"d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__CAG-605;s__CAG-605 sp934098505"	"99.97"	"0.954"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	73.59	1.09	1447945	51971	0
"MGYG000000884"	"ERR7738629_bin.7"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-465;g__CAG-465;s__CAG-465 sp905204915"	"GCA_905204915.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-465;g__CAG-465;s__CAG-465 sp905204915"	"98.61"	"0.814"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	95.69	0.53	1206326	62707	0
"MGYG000000885"	"ERR7738629_bin.74"	"d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__RUG410;s__RUG410 sp934229625"	"GCA_934229625.1"	"95.0"	"d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__RUG410;s__RUG410 sp934229625"	"98.27"	"0.882"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	98.43	0.16	1566235	82844	0.998507
"MGYG000000886"	"ERR7738629_bin.75"	"d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"GCA_900753045.1"	"95.0"	"d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A sp900753045"	"94.97"	"0.861"	"d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__"	"taxonomic classification defined by topology and ANI"	"classification based on placement in class-level tree"	"GCF_000188175.1, s__Phascolarctobacterium_A succinatutens, 95.0, 94.77, 0.825; GCA_934234275.1, s__Phascolarctobacterium_A sp934234275, 95.0, 93.94, 0.658; GCA_000434895.1, s__Phascolarctobacterium_A succinatutens_A, 95.0, 93.44, 0.892; GCA_934190775.1, s__Phascolarctobacterium_A sp934190775, 95.0, 93.31, 0.898; GCA_900770955.1, s__Phascolarctobacterium_A sp900770955, 95.0, 92.47, 0.867; GCA_022718015.1, s__Phascolarctobacterium_A sp022718015, 95.0, 82.44, 0.553; GCA_900551335.1, s__Phascolarctobacterium_A sp900551335, 95.0, 81.52, 0.689; GCA_905212365.1, s__Phascolarctobacterium_A sp905212365, 95.0, 78.61, 0.427; GCA_905200645.1, s__Phascolarctobacterium_A sp905200645, 95.0, 78.52, 0.345; GCA_900553055.1, s__Phascolarctobacterium_A sp900553055, 95.0, 78.46, 0.347; GCA_900547415.1, s__Phascolarctobacterium_A sp900547415, 95.0, 78.4, 0.306; GCA_900544885.1, s__Phascolarctobacterium_A sp900544885, 95.0, 78.4, 0.295; GCA_004558595.1, s__Phascolarctobacterium_A sp004558595, 95.0, 78.34, 0.327; GCA_900552855.1, s__Phascolarctobacterium_A sp900552855, 95.0, 78.3, 0.227; GCA_004562175.1, s__Phascolarctobacterium_A sp004562175, 95.0, 78.2, 0.38; GCA_900757795.1, s__Phascolarctobacterium_A sp900757795, 95.0, 78.14, 0.343; GCA_016302525.1, s__Phascolarctobacterium_A sp016302525, 95.0, 77.05, 0.14; GCA_024405645.1, s__Phascolarctobacterium_A sp024405645, 95.0, 76.95, 0.085; GCA_024405615.1, s__Phascolarctobacterium_A sp024405615, 95.0, 76.53, 0.094"	"62.94"	"11"	"0.99659"	"Genome not assigned to closest species as it falls outside its pre-defined ANI radius"	87.54	0.86	1822745	14056	0
"MGYG000000887"	"ERR7738629_bin.79"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia sp934309475"	"GCA_934309475.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia sp934309475"	"99.64"	"0.856"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	66.99	1.77	1940836	35533	0.994094
"MGYG000000888"	"ERR7738629_bin.83"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia_A;s__Roseburia_A sp934364805"	"GCA_934364805.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia_A;s__Roseburia_A sp934364805"	"99.97"	"0.954"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	88.55	0.89	2389053	135450	0.967676
"MGYG000000889"	"ERR7738630_bin.1"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__DTU072;g__CAG-1782;s__CAG-1782 sp905210905"	"GCA_905210905.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__DTU072;g__CAG-1782;s__CAG-1782 sp905210905"	"98.07"	"0.875"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	92.56	1.23	1751108	176645	0.987378
"MGYG000000890"	"ERR7738630_bin.102"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS172;s__UMGS172 sp900539855"	"GCA_900539855.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS172;s__UMGS172 sp900539855"	"97.65"	"0.91"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	72.45	2.32	1524190	4303	0
"MGYG000000891"	"ERR7738630_bin.104"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__HGM12789;s__HGM12789 sp934667845"	"GCA_934667845.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__HGM12789;s__HGM12789 sp934667845"	"98.53"	"0.939"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	84.62	1.48	1793115	8254	0.975086
"MGYG000000892"	"ERR7738630_bin.105"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA737;s__UBA737 sp934477125"	"GCA_934477125.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA737;s__UBA737 sp934477125"	"97.74"	"0.919"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	98.43	0.29	2302102	87587	0.984615
"MGYG000000893"	"ERR7738630_bin.107"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__CAG-115 sp934446355"	"GCA_934446355.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__CAG-115 sp934446355"	"98.53"	"0.932"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	93.8	0.35	2384435	49453	0.987084
"MGYG000000894"	"ERR7738630_bin.109"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-492;s__CAG-492 sp000434015"	"GCA_000434015.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-492;s__CAG-492 sp000434015"	"99.15"	"0.928"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	89.24	4.03	1159100	27707	0
"MGYG000000895"	"ERR7738630_bin.111"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__UBA1242;g__UBA7868;s__UBA7868 sp934757845"	"GCA_934757845.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__UBA1242;g__UBA7868;s__UBA7868 sp934757845"	"99.89"	"0.939"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	97.1	0.41	1026136	71632	0
"MGYG000000896"	"ERR7738630_bin.112"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_M"	"GCA_004558805.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_M"	"95.55"	"0.861"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	93.39	2.81	2327386	27881	0.96545225
"MGYG000000897"	"ERR7738630_bin.113"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__14-2 sp934434905"	"GCA_934434905.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__14-2 sp934434905"	"99.9"	"0.948"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	77.29	2.48	1698120	6896	0
"MGYG000000898"	"ERR7738630_bin.114"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__UBA1242;g__UBA11490;s__UBA11490 sp934748015"	"GCA_934748015.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__UBA1242;g__UBA11490;s__UBA11490 sp934748015"	"98.14"	"0.941"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	97.69	0.43	1290063	213836	0.980413
"MGYG000000899"	"ERR7738630_bin.115"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__RGIG3994;s__RGIG3994 sp934378145"	"GCA_934378145.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__RGIG3994;s__RGIG3994 sp934378145"	"98.72"	"0.898"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	95.65	0.17	1911197	105735	0.983775166666667
